No,Brand,Nomor Permohonan,Tahun Permohonan,Status,Kode Kelas,Deskripsi Kelas
31,NSE SOLDER + LOGO,D002007003496,2007,Didaftar,6,Logam campuran timah solder
32,NSE SOLDER + luk Globe,D002007003497,2007,Didaftar,1,Fluksi (lelehan) solder
33,MONSO,D002007003505,2007,Didaftar,3,"Cairan pemutih, pembersih serba guna (MPC), pembersih lantai"
34,DURA,D002007003517,2007,Didaftar,20,"Cermin-cermin, kantong tidur untuk berkemah, sedotan, bantal, guling, kasur-kasur termasuk: kasur busa, kasur kapuk dan kasur pegas/per, bingkai gambar (pigura), tirai manik-manik untuk hiasan, gantungan/kapstok untuk handuk/baju"
35,NETWORK!,D002007003527,2007,Didaftar,16,"Celana popok bayi terbuat dari kertas dan selulosa, kantong-kantong sampah dari kertas atau plastik, kertas tissue kering, piring dari kertas, gelas dari kertas, segala macam kuas cat, lem kertas, buku tulis, kertas dan barang-barang dari kertas, karton, alat-alat menjilid buku, potret-potret, album frame, bahan-bahan perekat (untuk tulis menulis), alat-alat untuk kesenian alat-alat pendidikan dan pengajaran (kecuali perkakas-perkakasnya), huruf-huruf cetak, klise, pensil, pulpen, ballpoint, pena, tinta tulis, crayon, pensil warna, marker pen, kapur tulis, kertas tulis, kertas gambar, tempat pena, kotak pensil, tempat pensil, binder klip, penggaris, rautan pensil, penghapus pensil, mesin tik, kertas HVS, kantong goni, kantong kado, segala macam kantong (yang tidak termasuk dalam ===las lain), segala macam kantong belanja dan bahan pembungkus, memo, buku catatan (note book), organizer, buku harian (diary), pcmbungkus plastik (wrapping), kertas file (loose leaf), sampul surat, map, ordner, cairan koreksi tulisan, karet penghapus, paku payung, alat pelubang kertas, pemotong kertas (keperluan kantor), stapler, staples, papan nama, papan reklame, lem kertas, self adhesive, celotape, plakband, lembaran plastik tembus cahaya, mistar gambar, peraut pensil, pita bertinta untuk printer komputer, kertas sembahyang, mesin stensil, kantong plastik, dispenser sellotape, kertas komputer, kertas kado, kertas gambar, pita mesin tik, kertas karbon, jepitan kertas, bak surat, garisan, klips, alat pelepas staples (staples remover), plastik pembungkus, kertas pembungkus berlapis plastik, kantong kertas, segala macam kantong plastik, plakban, jangka, kertas fax, buku agenda, fastener (pengikat kertas dari logam/ plastik), akuarium dalam ruangan, tabel hitungan, katalog-katalog, tadah liur dari kertas, tasbih, konfeti (kertas kecil warna-warni), dekalkomania, handuk muka dari kertas, ukiran-ukiran, dompet cek, batu litografi, karya seni litografi, litografi"
36,WIN DAY + LOGO,D002007003538,2007,Didaftar,25,"Segala macam busana luar dan busana dalam untuk pria, wanita, anak, topi, dasi, sabuk, sarung tangan, syal, kaos kaki, stocking, sandal, sepatu, selop, sol sepatu"
37,WINON + LOGO,D002007003539,2007,Didaftar,25,"Sepatu, sandal, selop, sepatu olah raga, sol sepatu, sol sandal,sepatu bot, segala macam konpeksi yaitu : pakaian pria-wanita-anak-anak-bayi, celana panjang/ pendek, kemeja lengan panjang/ pendek, pakaian seragam, pakaian renang, celana renang, pakaian tidur untuk pria-wanita-anak-anak, topi, dasi, kaos kaki, ikat pinggang, celana dalam untuk pria-wanita-anak-anak, kutang wanita, jas hujan, jaket, t-shirt, pakaian olah raga, celana jean's, baju kaos, kaos singlet, ikat kepala, scarf"
38,LOGO M,D002007003542,2007,Didaftar,9,"alat pengontrol elektronik untuk pengeras suara, Amplifier, aparat untuk menambah kuat suara, bagian-bagian dan alat-alat perlengkapan untuk semua barang-barang tersebut di atas, jaringan crossover, pengeras suara"
39,THINKSTATION,D002007003557,2007,Didaftar,9,"compact disc, disk magnetik, faksimili, interface untuk komputer, kalkulator saku, kas register, komponen dan periferal komputer, Komputer, layar video, perekam video, memori komputer, mesin cetak, mesin hitung, pedoman dokumentasi dan instruksi yang direkam di media yang dapat dibaca mesin dan berhubungan dengan komputer atau program komputer, penggerak disk, perangkat keras komputer dan perangkat lunak komputer, perangkat keras komputer, yaitu peratan penerang untuk papan tombol dan terminal komputer, perekam suara, perlengkapan pengolah data, pita magnetik, pita video, program komputer, adaptor (adapter) komputer, sirkuit tercetak, sirkuit terpadu"
40,THINKSTATION,D002007003558,2007,Didaftar,16,"Bahan pendidikan dan pengajaran, bahan-bahan cetakan yang berhubungan dengan komputer dan perangkat keras komputer serta perangkat lunak komputer, barang publikasi tercetak, buku pedoman, dokumentasi dan publikasi yang berhubungan dengan komputer atau program komputer"
41,GRANMAX,D002007003565,2007,Didaftar,12,"mesin dan motor untuk mobil, Mobil, suku cadang dan perlengkapan dari barang-barang di atas"
